SourceFile,ResultFile,CWE,SourceLines,ResultLines,CompressionRatio,IsEmptyResult,,CWE-190_FreeRDP_CVE-2024-22211.txt,CWE-190_FreeRDP_CVE-2024-22211.txt_result.txt,CWE190,2,2,0.0328,FALSE,,,¼ò»¯±ÈÂÊ,CWE190,CWE190,CWE119-1,CWE119
CWE-119_file_CVE-2012-1571.txt,CWE-119_file_CVE-2012-1571.txt_result.txt,CWE119,41,6,0.2222,FALSE,,CWE-190_linux_CVE-2022-39842.txt,CWE-190_linux_CVE-2022-39842.txt_result.txt,CWE190,7,2,,FALSE,,,,,,,
CWE-119_file_CVE-2014-9652.txt,CWE-119_file_CVE-2014-9652.txt_result.txt,CWE119,4,2,0.2273,FALSE,,CWE-190_memcached_CVE-2018-1000127.txt,CWE-190_memcached_CVE-2018-1000127.txt_result.txt,CWE190,84,17,,FALSE,,,,,,,
CWE-119_file_CVE-2015-8865.txt,CWE-119_file_CVE-2015-8865.txt_result.txt,CWE119,2,1,0.2456,FALSE,,CWE-190_nfdump_CVE-2019-14459.txt,CWE-190_nfdump_CVE-2019-14459.txt_result.txt,CWE190,52,7,,FALSE,,,,,,,
CWE-119_git_CVE-2016-2315.txt,CWE-119_git_CVE-2016-2315.txt_result.txt,CWE119,58,0,0.25,TRUE,,CWE-190_optee_os_CVE-2019-1010296.txt,CWE-190_optee_os_CVE-2019-1010296.txt_result.txt,CWE190,21,1,,FALSE,,,,,,,
CWE-119_git_CVE-2016-2324.txt,CWE-119_git_CVE-2016-2324.txt_result.txt,CWE119,21,1,0.25,FALSE,,CWE-190_pngquant_CVE-2016-5735.txt,CWE-190_pngquant_CVE-2016-5735.txt_result.txt,CWE190,9,2,,FALSE,,,,,,,
CWE-119_gpac_CVE-2018-20761.txt,CWE-119_gpac_CVE-2018-20761.txt_result.txt,CWE119,11,1,0.25,FALSE,,CWE-190_util-linux_CVE-2021-37600.txt,CWE-190_util-linux_CVE-2021-37600.txt_result.txt,CWE190,2,2,,FALSE,,,,,,,
CWE-119_ioq3_CVE-2017-11721.txt,CWE-119_ioq3_CVE-2017-11721.txt_result.txt,CWE119,2,2,0.2586,FALSE,,CWE-190_vim_CVE-2017-6349.txt,CWE-190_vim_CVE-2017-6349.txt_result.txt,CWE190,3,0,,TRUE,,,,,,,
CWE-119_jq_CVE-2015-8863.txt,CWE-119_jq_CVE-2015-8863.txt_result.txt,CWE119,4,2,0.2857,FALSE,,CWE-190_vim_CVE-2022-2285.txt,CWE-190_vim_CVE-2022-2285.txt_result.txt,CWE190,146,0,,TRUE,,,,,,,
CWE-119_json-c_CVE-2013-6370.txt,CWE-119_json-c_CVE-2013-6370.txt_result.txt,CWE119,273,0,0.3,TRUE,,CWE-190_vim_CVE-2023-48234.txt,CWE-190_vim_CVE-2023-48234.txt_result.txt,CWE190,18,0,,TRUE,,,,,,,
CWE-119_kamailio_CVE-2016-2385.txt,CWE-119_kamailio_CVE-2016-2385.txt_result.txt,CWE119,58,15,0.3684,FALSE,,,,,,,,,,,,,,,
CWE-119_krb5_CVE-2015-2698.txt,CWE-119_krb5_CVE-2015-2698.txt_result.txt,CWE119,7,6,0.44,FALSE,,,,,,,,,,,,,,,
CWE-119_leptonica_CVE-2018-7247.txt,CWE-119_leptonica_CVE-2018-7247.txt_result.txt,CWE119,78,13,0.5,FALSE,,,,,,,,,,,,,,,
CWE-119_libarchive_CVE-2016-4301.txt,CWE-119_libarchive_CVE-2016-4301.txt_result.txt,CWE119,13,0,0.5,TRUE,,,,,,,,,,,,,,,
CWE-119_libgit2_CVE-2016-10128.txt,CWE-119_libgit2_CVE-2016-10128.txt_result.txt,CWE119,20,19,0.5,FALSE,,,,,,,,,,,,,,,
CWE-119_libmobi_CVE-2021-3888.txt,CWE-119_libmobi_CVE-2021-3888.txt_result.txt,CWE119,26,3,0.5,FALSE,,,,,,,,,,,,,,,
CWE-119_libtiff_CVE-2016-10092.txt,CWE-119_libtiff_CVE-2016-10092.txt_result.txt,CWE119,106,2,0.5,FALSE,,,,,,,,,,,,,,,
CWE-119_libtiff_CVE-2016-9533.txt,CWE-119_libtiff_CVE-2016-9533.txt_result.txt,CWE119,9,9,0.5714,FALSE,,,,,,,,,,,,,,,
CWE-119_nbd_CVE-2011-0530.txt,CWE-119_nbd_CVE-2011-0530.txt_result.txt,CWE119,44,10,0.7,FALSE,,,,,,,,,,,,,,,
CWE-119_openjpeg_CVE-2017-12982.txt,CWE-119_openjpeg_CVE-2017-12982.txt_result.txt,CWE119,10,3,0.7857,FALSE,,,,,,,,,,,,,,,
CWE-119_openjpeg_CVE-2018-7648.txt,CWE-119_openjpeg_CVE-2018-7648.txt_result.txt,CWE119,25,0,0.8571,TRUE,,,,,,,,,,,,,,,
