SourceFile,ResultFile,CWE,SourceLines,ResultLines,CompressionRatio,IsEmptyResult
CWE-787_SDL_CVE-2021-33657.txt,CWE-787_SDL_CVE-2021-33657.txt_result.txt,CWE787,25,4,0.16,False
CWE-787_atomicparsley_CVE-2021-37232.txt,CWE-787_atomicparsley_CVE-2021-37232.txt_result.txt,CWE787,122,18,0.1475,False
CWE-787_curl_CVE-2018-0500.txt,CWE-787_curl_CVE-2018-0500.txt_result.txt,CWE787,5,3,0.6,False
CWE-787_faad2_CVE-2021-32272.txt,CWE-787_faad2_CVE-2021-32272.txt_result.txt,CWE787,18,3,0.1667,False
CWE-787_file_CVE-2019-18218.txt,CWE-787_file_CVE-2019-18218.txt_result.txt,CWE787,75,12,0.16,False
CWE-787_ghostpdl_CVE-2020-15900.txt,CWE-787_ghostpdl_CVE-2020-15900.txt_result.txt,CWE787,25,7,0.28,False
CWE-787_gpac_CVE-2018-20760.txt,CWE-787_gpac_CVE-2018-20760.txt_result.txt,CWE787,319,1,0.0031,False
CWE-787_gpac_CVE-2021-32136.txt,CWE-787_gpac_CVE-2021-32136.txt_result.txt,CWE787,77,0,,True
CWE-787_gpac_CVE-2021-32137.txt,CWE-787_gpac_CVE-2021-32137.txt_result.txt,CWE787,6,0,,True
CWE-787_gpac_CVE-2021-32268.txt,CWE-787_gpac_CVE-2021-32268.txt_result.txt,CWE787,6,6,1.0,False
CWE-787_gpac_CVE-2023-0770.txt,CWE-787_gpac_CVE-2023-0770.txt_result.txt,CWE787,73,6,0.0822,False
CWE-787_gpac_CVE-2023-46927.txt,CWE-787_gpac_CVE-2023-46927.txt_result.txt,CWE787,33,2,0.0606,False
CWE-787_gpac_CVE-2023-4754.txt,CWE-787_gpac_CVE-2023-4754.txt_result.txt,CWE787,42,0,,True
CWE-787_gpac_CVE-2023-48014.txt,CWE-787_gpac_CVE-2023-48014.txt_result.txt,CWE787,6,0,,True
CWE-787_gpmf-parser_CVE-2019-15148.txt,CWE-787_gpmf-parser_CVE-2019-15148.txt_result.txt,CWE787,102,2,0.0196,False
CWE-787_gss-ntlmssp_CVE-2023-25564.txt,CWE-787_gss-ntlmssp_CVE-2023-25564.txt_result.txt,CWE787,14,0,,True
CWE-787_kamailio_CVE-2018-8828.txt,CWE-787_kamailio_CVE-2018-8828.txt_result.txt,CWE787,44,5,0.1136,False
CWE-787_keepkey-firmware_CVE-2019-18671.txt,CWE-787_keepkey-firmware_CVE-2019-18671.txt_result.txt,CWE787,2,2,1.0,False
CWE-787_ksmbd_CVE-2023-0210.txt,CWE-787_ksmbd_CVE-2023-0210.txt_result.txt,CWE787,35,7,0.2,False
CWE-787_libevent_CVE-2016-10196.txt,CWE-787_libevent_CVE-2016-10196.txt_result.txt,CWE787,34,12,0.3529,False
CWE-787_libmysofa_CVE-2021-3756.txt,CWE-787_libmysofa_CVE-2021-3756.txt_result.txt,CWE787,11,1,0.0909,False
CWE-787_libvncserver_CVE-2018-20748.txt,CWE-787_libvncserver_CVE-2018-20748.txt_result.txt,CWE787,55,0,,True
CWE-787_libvncserver_CVE-2018-20749.txt,CWE-787_libvncserver_CVE-2018-20749.txt_result.txt,CWE787,33,0,,True
CWE-787_libvncserver_CVE-2019-20840.txt,CWE-787_libvncserver_CVE-2019-20840.txt_result.txt,CWE787,24,0,,True
CWE-787_linux_CVE-2012-3400.txt,CWE-787_linux_CVE-2012-3400.txt_result.txt,CWE787,30,1,0.0333,False
CWE-787_linux_CVE-2017-8067.txt,CWE-787_linux_CVE-2017-8067.txt_result.txt,CWE787,9,0,,True
CWE-787_linux_CVE-2018-13095.txt,CWE-787_linux_CVE-2018-13095.txt_result.txt,CWE787,45,14,0.3111,False
CWE-787_linux_CVE-2018-5332.txt,CWE-787_linux_CVE-2018-5332.txt_result.txt,CWE787,13,1,0.0769,False
CWE-787_linux_CVE-2019-20636.txt,CWE-787_linux_CVE-2019-20636.txt_result.txt,CWE787,25,9,0.36,False
CWE-787_linux_CVE-2020-12653.txt,CWE-787_linux_CVE-2020-12653.txt_result.txt,CWE787,110,28,0.2545,False
CWE-787_linux_CVE-2021-31916.txt,CWE-787_linux_CVE-2021-31916.txt_result.txt,CWE787,10,2,0.2,False
CWE-787_linux_CVE-2022-3028.txt,CWE-787_linux_CVE-2022-3028.txt_result.txt,CWE787,91,0,,True
CWE-787_linux_CVE-2022-43750.txt,CWE-787_linux_CVE-2022-43750.txt_result.txt,CWE787,2,2,1.0,False
CWE-787_linux_CVE-2022-47518.txt,CWE-787_linux_CVE-2022-47518.txt_result.txt,CWE787,24,2,0.0833,False
